,alpha,Прогон экперимента,MSE тренировочное,MSE тестовое,Кроссвалидация,Глубина дерева,Число листов
297,0.0006453212244811626,2,0.008386684369895729,0.36131792403623153,0.5137577759287183,10,55
298,0.0006746044476614411,2,0.009061288817555918,0.3671623588659955,0.5045478785479677,10,54
299,0.0006981227017605904,2,0.009061288817555918,0.3650406887773368,0.5311596045910566,10,54
300,0.0007041506746608468,2,0.010463562193977536,0.4080154069485027,0.527889212874448,10,52
301,0.0007178099362259572,2,0.011181372130203487,0.4098556917367471,0.5088554200741577,10,51
302,0.0007866804986106738,2,0.011181372130203487,0.3624410841912072,0.5113850323588817,10,51
303,0.0009092907055411965,2,0.01287734333435593,0.356569543668385,0.5202592064040535,10,49
304,0.0009128793857559822,2,0.013790222720111803,0.32791223924970964,0.5005910451342591,10,48
305,0.0009830991188435603,2,0.014773321838954051,0.4133902434120934,0.5270619197109169,10,47
306,0.0010606963077919509,2,0.015834018146746617,0.33063860374378923,0.4997935139880158,10,46
307,0.0010697351317633756,2,0.016903753278510153,0.40143098529892335,0.5356902106940648,10,45
308,0.0010752767094510136,2,0.017979029987961827,0.3282438314829891,0.5159181335807709,10,44
309,0.001078058370773198,2,0.01905708835873443,0.3354010530802136,0.5151388734537098,10,43
310,0.0011225579302770361,2,0.020179646289011584,0.3990713807095399,0.5102830068456113,10,42
311,0.00122252668804158,2,0.02140217297705311,0.3415536908944316,0.506846511526151,10,41
312,0.0015727119870139396,2,0.022974884964067067,0.31725075299974254,0.5096073406236167,10,40
313,0.0015816301709378634,2,0.026138145305943765,0.3181606081062891,0.48794263902768975,10,38
314,0.0017269703428365144,2,0.026138145305943765,0.32724701623877545,0.511359116521254,10,38
315,0.0017364899207866803,2,0.03132857591240449,0.3141722432764461,0.5112486710281644,9,35
316,0.0018098543724889282,2,0.03313843028489418,0.392422275850504,0.48817747733444344,9,34
317,0.001830240547420042,2,0.034968670832313954,0.33167986314957054,0.5059194345509334,9,33
318,0.0019801868237125124,2,0.03694885765602683,0.3206058382283794,0.509703006669795,9,32
319,0.0020449267114329064,2,0.0389937843674569,0.3288397119192737,0.5078274196491082,9,31
